% $Id$
% source: ifn9hyp_selected
% G_E proton data: space-like
# Type=1
-2.8620	0.1129	0.0022	0.0022
-2.5330	0.1423	0.0017	0.0017
-2.5020	0.1411	0.0011	0.0011
-2.4760	0.1476	0.0017	0.0017
-2.4440	0.1508	0.0025	0.0025
-2.3360	0.1564	0.0084	0.0084
-2.3300	0.1620	0.0036	0.0036
-2.2749	0.1670	0.0027	0.0027
-2.0000	0.2020	0.0040	0.0040
-1.9990	0.2005	0.0020	0.0020
-1.9520	0.2067	0.0084	0.0084
-1.9469	0.2056	0.0135	0.0135
-1.7522	0.2488	0.0047	0.0047
-1.7510	0.2402	0.0084	0.0084
-1.7500	0.2460	0.0052	0.0052
-1.7500	0.2359	0.0036	0.0036
-1.6100	0.2673	0.0040	0.0040
-1.5575	0.2910	0.0045	0.0045
-1.5380	0.2940	0.0022	0.0022
-1.5190	0.2960	0.0112	0.0112
-1.5170	0.2960	0.0112	0.0112
-1.5000	0.2980	0.0092	0.0092
-1.4980	0.2991	0.0028	0.0028
-1.4500	0.3099	0.0047	0.0047
-1.3628	0.3407	0.0053	0.0053
-1.3100	0.3502	0.0056	0.0056
-1.2490	0.3793	0.0053	0.0053
-1.2300	0.3801	0.0080	0.0080
-1.1700	0.4043	0.0064	0.0064
-1.1690	0.4100	0.0086	0.0086
-1.1682	0.4189	0.0061	0.0061
-1.1682	0.4046	0.0168	0.0168
-1.1670	0.4245	0.0056	0.0056
-1.0910	0.4553	0.0039	0.0039
-1.0903	0.4464	0.0168	0.0168
-1.0800	0.4512	0.0071	0.0071
-1.0254	0.4858	0.0021	0.0021
-1.0124	0.4966	0.0140	0.0140
-1.0100	0.4854	0.0087	0.0087
-1.0000	0.4900	0.0142	0.0142
-0.9735	0.5049	0.0067	0.0067
-0.8566	0.6250	0.0195	0.0195
-0.8300	0.5859	0.0090	0.0090
-0.7788	0.6393	0.0070	0.0070
-0.7787	0.6612	0.0279	0.0279
-0.7780	0.6507	0.0112	0.0112
-0.7780	0.6507	0.1230	0.1230
-0.7398	0.6836	0.0223	0.0223
-0.7009	0.6975	0.0140	0.0140
-0.6900	0.7373	0.0042	0.0042
-0.6700	0.7140	0.0221	0.0221
-0.6620	0.7680	0.0195	0.0195
-0.6618	0.7728	0.0223	0.0223
-0.6230	0.7848	0.0140	0.0140
-0.6229	0.7868	0.0168	0.0168
-0.6200	0.7856	0.0131	0.0131
-0.5841	0.8295	0.0073	0.0073
-0.5837	0.8286	0.0419	0.0419
-0.5452	0.8816	0.0223	0.0223
-0.5064	0.9123	0.0419	0.0419
-0.4900	0.9552	0.0167	0.0167
-0.4674	0.9905	0.0195	0.0195
-0.4283	1.0574	0.0251	0.0251
-0.3900	1.1283	0.0140	0.0140
-0.3895	1.1160	0.0195	0.0195
-0.3894	1.1412	0.0232	0.0232
-0.3114	1.3001	0.0251	0.0251
-0.2918	1.3169	0.0307	0.0307
-0.2726	1.3671	0.0279	0.0279
-0.2336	1.4871	0.0391	0.0391
-0.1946	1.7242	0.0586	0.0586
-0.1794	1.7047	0.0279	0.0279
-0.1557	1.7382	0.0502	0.0502
-0.1230	1.9998	0.0391	0.0391
-0.1160	2.0350	0.0160	0.0160
-0.0990	2.0890	0.0307	0.0307
-0.0857	2.2041	0.0165	0.0165
-0.0840	2.2008	0.0196	0.0196
-0.0779	2.2320	0.0335	0.0335
-0.0685	2.3310	0.0730	0.0730
-0.0660	2.3209	0.0307	0.0307
-0.0623	2.3715	0.0279	0.0279
-0.0600	2.2530	0.0550	0.0550
-0.0550	2.3795	0.0391	0.0391
-0.0495	2.4110	0.0340	0.0340
-0.0475	2.4090	0.0250	0.0250
-0.0460	2.4493	0.0610	0.0610
-0.0409	2.4689	0.0251	0.0251
-0.0400	2.5108	0.0500	0.0500
-0.0389	2.5082	0.0376	0.0376
-0.0388	2.4736	0.0153	0.0153
-0.0382	2.4900	0.0630	0.0630
-0.0378	2.4493	0.0335	0.0335
-0.0330	2.4996	0.1000	0.1000
-0.0242	2.5898	0.0285	0.0285
-0.0234	2.6223	0.0170	0.0170
-0.0210	2.5806	0.1590	0.1590
-0.0171	2.6800	0.0616	0.0616
-0.0117	2.6896	0.0403	0.0403
-0.0117	2.7149	0.0151	0.0151
-0.0117	2.7035	0.0136	0.0136
-0.0109	2.7248	0.0381	0.0381
-0.2814	1.4222	0.0063	0.0063
-0.2758	1.4351	0.0040	0.0040
-0.2592	1.4813	0.0054	0.0054
-0.2481	1.5166	0.0059	0.0059
-0.2427	1.5429	0.0056	0.0056
-0.2318	1.5609	0.0067	0.0067
-0.2210	1.6015	0.0068	0.0068
-0.1637	1.8164	0.0053	0.0053
-0.1588	1.8419	0.0070	0.0070
-0.1538	1.8522	0.0081	0.0081
-0.1441	1.9096	0.0059	0.0059
-0.1395	1.9296	0.0065	0.0065
-0.1348	1.9522	0.0062	0.0062
-0.1076	2.1125	0.0213	0.0213
-0.1033	2.1669	0.0260	0.0260
-0.0949	2.1873	0.0319	0.0319
-0.0908	2.1924	0.0257	0.0257
-0.0867	2.2087	0.0416	0.0416
-0.0580	2.3938	0.0121	0.0121
-0.0557	2.3997	0.0123	0.0123
-0.0537	2.4014	0.0111	0.0111
-0.0515	2.4175	0.0135	0.0135
-0.0494	2.4500	0.0174	0.0174
-0.0473	2.4788	0.0164	0.0164
-0.0433	2.4878	0.0201	0.0201
-0.0413	2.5439	0.0259	0.0259
-0.0394	2.4698	0.0386	0.0386
-0.0376	2.5045	0.0477	0.0477
-0.0357	2.6470	0.0460	0.0460
-0.0340	2.4843	0.0480	0.0480
-0.0322	2.5483	0.0768	0.0768
-0.0304	2.4760	0.0973	0.0973
-0.0272	2.6058	0.0894	0.0894
-0.0255	2.4870	0.1138	0.1138
-0.0236	2.3928	0.1712	0.1712
-0.0213	2.4972	0.2096	0.2096
-0.0202	2.7368	0.1861	0.1861
-0.0192	3.1029	0.2263	0.2263
-0.0182	2.6790	0.2057	0.2057
-0.0172	3.2880	0.2134	0.2134
-0.0162	3.1148	0.2332	0.2332
-0.0152	3.2859	0.3955	0.3955
% G_M proton data: time-like
# Type=4
3.5220	0.5300	0.0600	0.0600
3.5278	0.5150	0.0500	0.0500
3.5438	0.4970	0.0340	0.0340
3.5500	0.4100	0.0700	0.0700
3.5627	0.4030	0.0320	0.0320
3.5664	0.4240	0.0140	0.0140
3.5700	0.3500	0.0600	0.0600
3.5815	0.4160	0.0300	0.0300
3.6000	0.3000	0.0500	0.0500
3.6005	0.4040	0.0290	0.0290
3.6100	0.4100	0.1100	0.1100
3.6195	0.3530	0.0290	0.0290
3.6386	0.3720	0.0280	0.0280
3.6577	0.3900	0.0270	0.0270
3.6577	0.3550	0.0120	0.0120
3.6864	0.3330	0.0170	0.0170
3.6900	0.3600	0.0500	0.0500
3.6900	0.2870	0.0160	0.0160
3.7297	0.3090	0.0140	0.0140
3.7539	0.3090	0.0100	0.0100
3.7782	0.3110	0.0140	0.0140
3.8269	0.2830	0.0140	0.0140
3.8514	0.2860	0.0100	0.0100
3.8760	0.2880	0.0130	0.0130
3.9400	0.2410	0.0130	0.0130
3.9502	0.2810	0.0090	0.0090
4.0000	0.2400	0.0300	0.0300
4.0502	0.2710	0.0090	0.0090
4.5689	0.2270	0.0090	0.0090
4.8952	0.1730	0.0080	0.0080
4.9836	0.1610	0.0047	0.0047
4.9836	0.1842	0.0518	0.0518
5.1189	0.1340	0.0090	0.0090
5.2327	0.1250	0.0090	0.0090
5.6406	0.0910	0.0070	0.0070
5.7600	0.0361	0.0190	0.0190
5.9500	0.1500	0.0300	0.0300
6.2500	0.1310	0.0372	0.0372
6.7600	0.0540	0.0063	0.0063
6.8906	0.0650	0.0090	0.0090
7.1556	0.0500	0.0060	0.0060
7.1556	0.0590	0.0090	0.0090
7.2900	0.0700	0.0391	0.0391
7.4256	0.0540	0.0100	0.0100
7.8400	0.0630	0.0361	0.0361
7.9806	0.0420	0.0060	0.0060
8.2656	0.0520	0.0100	0.0100
8.8506	0.0350	0.0140	0.0140
9.0000	0.0280	0.0100	0.0100
9.3942	0.0361	0.0190	0.0190
9.4240	0.0270	0.0061	0.0061
9.6100	0.0220	0.0070	0.0070
9.6100	0.0210	0.0090	0.0090
10.7800	0.0240	0.0096	0.0096
10.8900	0.0170	0.0080	0.0080
11.5600	0.0154	0.0058	0.0058
12.2500	0.0150	0.0030	0.0030
12.2500	0.0160	0.0090	0.0090
12.2500	0.0173	0.0045	0.0045
12.4000	0.0130	0.0030	0.0030
12.6075	0.0167	0.0029	0.0029
12.9614	0.0178	0.0043	0.0043
13.0000	0.0130	0.0050	0.0050
13.4762	0.0184	0.0050	0.0050
13.6900	0.0180	0.0040	0.0040
13.6900	0.0190	0.0080	0.0080
13.6900	0.0124	0.0021	0.0021
14.3600	0.0151	0.0101	0.0101
15.2100	0.0050	0.0050	0.0050
15.2100	0.0150	0.0090	0.0090
15.2100	0.0112	0.0016	0.0016
17.0156	0.0080	0.0080	0.0080
17.0156	0.0110	0.0100	0.0100
18.0625	0.0058	0.0010	0.0010
19.1406	0.0080	0.0080	0.0080
19.1406	0.0050	0.0050	0.0050
25.0000	0.0022	0.0008	0.0008
36.0000	0.0007	0.0007	0.0007
% G_E neutron data: space-like
# Type=5
-3.9211	0.0100	0.0400	0.0400
-3.3320	0.0224	0.0201	0.0201
-2.6576	0.0141	0.0532	0.0532
-1.8465	0.0656	0.0450	0.0450
-1.8418	0.0400	0.0338	0.0338
-1.7522	0.0412	0.0291	0.0291
-1.5300	0.0460	0.0500	0.0500
-1.1681	0.0721	0.0194	0.0194
-1.1670	0.0580	0.0430	0.0430
-1.0163	0.0566	0.0618	0.0618
-1.0085	0.1030	0.0553	0.0553
-1.0000	0.0454	0.0065	0.0065
-0.9880	0.0230	0.0220	0.0220
-0.9410	0.0120	0.0270	0.0270
-0.9140	0.0500	0.0220	0.0220
-0.8790	0.0190	0.0200	0.0200
-0.8170	0.0330	0.0150	0.0150
-0.7900	0.0468	0.0093	0.0093
-0.7780	0.0490	0.0380	0.0380
-0.7620	0.0560	0.0160	0.0160
-0.7310	0.0180	0.0160	0.0160
-0.7000	0.0380	0.0150	0.0150
-0.6970	0.0721	0.0784	0.0784
-0.6700	0.0468	0.0069	0.0069
-0.6220	0.0550	0.0180	0.0180
-0.5900	0.0477	0.0073	0.0073
-0.5841	0.0529	0.0681	0.0681
-0.5840	0.0800	0.0180	0.0180
-0.5640	0.0380	0.0150	0.0150
-0.5060	0.0700	0.0170	0.0170
-0.5000	0.0526	0.0042	0.0042
-0.4950	0.0463	0.0070	0.0070
-0.4830	0.0730	0.0150	0.0150
-0.4670	0.0350	0.0260	0.0260
-0.4550	0.0580	0.0130	0.0130
-0.4290	0.0500	0.0150	0.0150
-0.4240	0.0720	0.0200	0.0200
-0.4000	0.0520	0.0047	0.0047
-0.3894	0.0316	0.0712	0.0712
-0.3790	0.0500	0.0170	0.0170
-0.3400	0.0611	0.0098	0.0098
-0.3000	0.0552	0.0064	0.0064
-0.2920	0.0700	0.0200	0.0200
-0.2740	0.0520	0.0190	0.0190
-0.2726	0.1149	0.0392	0.0392
-0.2570	0.0400	0.0180	0.0180
-0.2550	0.0660	0.0371	0.0371
-0.2400	0.0550	0.0150	0.0150
-0.2100	0.0660	0.0043	0.0043
-0.1940	0.0500	0.0200	0.0200
-0.1560	0.0520	0.0200	0.0200
-0.1500	0.0481	0.0084	0.0084
-0.1170	0.0820	0.0280	0.0280
-0.0820	0.0250	0.0150	0.0150
-0.0580	0.0450	0.0140	0.0140
-0.0500	0.0230	0.0120	0.0120
-0.0390	0.0180	0.0150	0.0150
-0.0195	0.0090	0.0023	0.0023
-0.0190	0.0150	0.0100	0.0100
-0.0186	0.0083	0.0025	0.0025
-0.0156	0.0070	0.0020	0.0020
-0.0136	0.0082	0.0027	0.0027
-0.0116	0.0066	0.0019	0.0019
