-8	(0.00124218,-8.86957e-18i)	(0.0174754,1.3683e-18i)	(0.00379713,-8.39754e-18i)	(-0.0180009,-2.48249e-18i)	
-7.9984	(0.0012433,-1.49383e-17i)	(0.0174823,-2.18732e-18i)	(0.00379835,-1.37371e-17i)	(-0.0180069,-1.37602e-17i)	
-7.9968	(0.00124442,8.66823e-18i)	(0.0174893,1.87358e-17i)	(0.00379957,-4.04905e-17i)	(-0.018013,-2.44753e-17i)	
-7.9952	(0.00124554,-1.49072e-17i)	(0.0174963,1.86072e-17i)	(0.00380079,1.02118e-20i)	(-0.0180191,-2.55053e-17i)	
-7.9936	(0.00124666,-1.46594e-17i)	(0.0175032,4.21317e-18i)	(0.00380202,-3.37762e-19i)	(-0.0180251,5.14846e-18i)	
-7.992	(0.00124778,-4.0563e-17i)	(0.0175102,8.62383e-18i)	(0.00380324,1.87597e-18i)	(-0.0180312,-1.37332e-17i)	
-7.9904	(0.00124891,1.54893e-17i)	(0.0175172,8.11474e-18i)	(0.00380447,-2.38712e-17i)	(-0.0180373,-6.27008e-18i)	
-7.9888	(0.00125003,-2.40119e-17i)	(0.0175242,-7.66046e-18i)	(0.00380569,-1.29914e-17i)	(-0.0180434,-2.98628e-18i)	
-7.9872	(0.00125115,-1.43761e-17i)	(0.0175312,5.46674e-18i)	(0.00380692,-4.88287e-18i)	(-0.0180494,-8.41808e-18i)	
-7.9856	(0.00125228,7.52917e-18i)	(0.0175382,-4.17879e-18i)	(0.00380814,-6.92212e-18i)	(-0.0180555,1.30214e-17i)	
-7.984	(0.0012534,-2.44632e-19i)	(0.0175452,2.8934e-18i)	(0.00380937,-1.29364e-17i)	(-0.0180616,8.15336e-18i)	
-7.9824	(0.00125453,-4.88833e-18i)	(0.0175522,-8.87886e-18i)	(0.0038106,-2.02102e-17i)	(-0.0180677,-3.65519e-18i)	
-7.9808	(0.00125566,1.6745e-17i)	(0.0175592,2.49879e-18i)	(0.00381182,2.45502e-18i)	(-0.0180738,7.02796e-18i)	
-7.9792	(0.00125679,3.90482e-18i)	(0.0175662,1.04292e-17i)	(0.00381305,-9.29544e-18i)	(-0.0180799,-1.33609e-17i)	
-7.9776	(0.00125792,-3.55184e-17i)	(0.0175732,8.25728e-18i)	(0.00381428,2.15981e-17i)	(-0.018086,-1.73441e-17i)	
-7.976	(0.00125905,3.0998e-17i)	(0.0175802,4.05933e-17i)	(0.00381551,-2.16899e-17i)	(-0.0180921,-1.30528e-17i)	
-7.9744	(0.00126018,8.38551e-19i)	(0.0175872,1.47724e-17i)	(0.00381674,-1.19754e-17i)	(-0.0180982,-5.9416e-18i)	
-7.9728	(0.00126131,-2.12441e-17i)	(0.0175942,2.46659e-17i)	(0.00381797,2.87529e-18i)	(-0.0181043,-4.0353e-18i)	
-7.9712	(0.00126244,-2.99768e-17i)	(0.0176013,1.71946e-17i)	(0.0038192,1.03538e-17i)	(-0.0181104,-8.83773e-18i)	
