0.088	1.434	0.666
0.125	1.707	0.369
0.175	2.362	0.341
0.225	3.211	0.252
0.275	4.260	0.134
0.325	5.622	0.074
0.375	8.492	0.088
0.425	13.392	0.206
0.475	21.894	0.290
0.525	33.384	0.306
0.575	40.996	0.295
0.625	34.503	0.268
0.675	23.936	0.233
0.725	15.324	0.129
0.775	10.525	0.149
0.825	7.637	0.121
0.875	5.639	0.060
0.925	4.350	0.069
0.975	3.435	0.057
1.025	2.851	0.044
1.075	2.439	0.056
1.125	2.087	0.028
1.175	1.847	0.059
1.225	1.667	0.053
1.275	1.486	0.022
1.325	1.339	0.042
1.375	1.229	0.027
1.425	1.132	0.034
1.475	1.025	0.035
1.525	0.913	0.030
1.575	0.818	0.019
1.625	0.711	0.017
1.675	0.636	0.017
1.725	0.576	0.015
1.775	0.511	0.014
1.825	0.439	0.013
1.875	0.382	0.013
1.925	0.318	0.012
1.975	0.255	0.011
2.025	0.211	0.010
2.075	0.162	0.010
2.125	0.117	0.009
2.175	0.085	0.009
2.225	0.060	0.008
2.275	0.040	0.006
2.325	0.027	0.010
2.375	0.019	0.020
2.425	0.017	0.025
2.475	0.017	0.020
2.525	0.019	0.011
2.575	0.024	0.007
2.625	0.036	0.010
2.675	0.050	0.015
2.725	0.066	0.021
2.775	0.083	0.025
2.825	0.102	0.053
2.875	0.132	0.086
2.925	0.165	0.120
2.975	0.178	0.090
3.025	0.165	0.084
3.075	0.203	0.113
3.125	0.287	0.160
