0.088	1.197	0.278
0.125	1.307	0.141
0.175	1.537	0.111
0.225	1.792	0.070
0.275	2.064	0.032
0.325	2.371	0.016
0.375	2.914	0.015
0.425	3.660	0.028
0.475	4.679	0.031
0.525	5.778	0.026
0.575	6.403	0.023
0.625	5.874	0.023
0.675	4.892	0.024
0.725	3.915	0.017
0.775	3.244	0.023
0.825	2.764	0.022
0.875	2.375	0.013
0.925	2.086	0.017
0.975	1.853	0.015
1.025	1.688	0.013
1.075	1.562	0.018
1.125	1.445	0.010
1.175	1.359	0.022
1.225	1.291	0.020
1.275	1.219	0.009
1.325	1.157	0.018
1.375	1.109	0.012
1.425	1.064	0.016
1.475	1.012	0.017
1.525	0.956	0.016
1.575	0.904	0.011
1.625	0.843	0.010
1.675	0.797	0.011
1.725	0.759	0.010
1.775	0.715	0.010
1.825	0.663	0.010
1.875	0.618	0.010
1.925	0.564	0.011
1.975	0.505	0.011
2.025	0.459	0.011
2.075	0.402	0.013
2.125	0.342	0.014
2.175	0.292	0.015
2.225	0.245	0.017
2.275	0.200	0.016
2.325	0.164	0.032
2.375	0.138	0.073
2.425	0.130	0.097
2.475	0.130	0.076
2.525	0.138	0.041
2.575	0.155	0.023
2.625	0.190	0.027
2.675	0.224	0.033
2.725	0.257	0.040
2.775	0.288	0.043
2.825	0.319	0.084
2.875	0.363	0.118
2.925	0.406	0.148
2.975	0.422	0.107
3.025	0.406	0.103
3.075	0.451	0.125
3.125	0.536	0.149
