
	 t=-10
-9.93	0.00407976	1.64626e-18

	 t=-9.928
-9.928	-0.000667588	-2.8421e-18
-9.928	0.00892204	2.52957e-17
-9.928	-0.000797268	-7.58101e-19
-9.928	0.00408175	2.83947e-18

	 t=-9.926
-9.926	-0.000667387	-2.29633e-18
-9.926	0.00892493	6.50033e-18
-9.926	-0.000797643	6.32785e-19
-9.926	0.00408373	1.30379e-18

	 t=-9.924
-9.924	-0.000667187	6.64733e-18
-9.924	0.00892782	4.8722e-18
-9.924	-0.000798018	1.24429e-18
-9.924	0.00408572	6.94047e-18

	 t=-9.922
-9.922	-0.000666986	2.09274e-18
-9.922	0.00893071	3.16257e-18
-9.922	-0.000798393	1.61046e-19
-9.922	0.00408771	-3.72631e-19

	 t=-9.92
-9.92	-0.000666784	6.44248e-18
-9.92	0.0089336	2.30243e-18
-9.92	-0.000798768	4.61878e-19
-9.92	0.0040897	-9.34997e-19

	 t=-9.918
-9.918	-0.000666583	3.97099e-18
-9.918	0.0089365	5.94717e-18
-9.918	-0.000799143	1.03566e-18
-9.918	0.00409169	4.75014e-19

	 t=-9.916
-9.916	-0.000666381	-2.966e-18
-9.916	0.00893939	2.84172e-18
-9.916	-0.000799519	1.29747e-18
-9.916	0.00409368	8.69808e-19

	 t=-9.914
-9.914	-0.000666179	2.65178e-18
-9.914	0.00894229	1.50985e-18
-9.914	-0.000799895	-4.81766e-19
-9.914	0.00409567	-2.03628e-18

	 t=-9.912
-9.912	-0.000665976	-7.59583e-20
-9.912	0.00894519	3.47872e-19
-9.912	-0.000800271	1.34657e-18
-9.912	0.00409767	5.1665e-19

	 t=-9.91
-9.91	-0.000665774	-3.39865e-18
-9.91	0.00894809	-5.0248e-19
-9.91	-0.000800647	-8.10199e-19
-9.91	0.00409966	2.01629e-20

	 t=-9.908
-9.908	-0.000665571	2.41363e-19
-9.908	0.00895099	1.75234e-17
-9.908	-0.000801024	2.75072e-19
-9.908	0.00410166	2.379e-18

	 t=-9.906
-9.906	-0.000665367	-3.34694e-18
-9.906	0.00895389	1.20198e-17
-9.906	-0.000801401	-5.15524e-19
-9.906	0.00410366	-5.43699e-19

	 t=-9.904
-9.904	-0.000665164	-1.24014e-18
-9.904	0.00895679	2.94491e-18
-9.904	-0.000801778	7.03937e-19
-9.904	0.00410566	5.02033e-18

	 t=-9.902
-9.902	-0.00066496	-3.32747e-18
-9.902	0.0089597	3.34655e-18
-9.902	-0.000802155	-1.65623e-18
-9.902	0.00410766	1.1514e-20

	 t=-9.9
-9.9	-0.000664756	6.10353e-18
-9.9	0.0089626	2.37134e-18
-9.9	-0.000802532	4.17542e-19
-9.9	0.00410966	-2.33814e-18

	 t=-9.898
-9.898	-0.000664551	1.61e-19
-9.898	0.00896551	6.70779e-18
-9.898	-0.00080291	-2.41146e-19
-9.898	0.00411167	3.96346e-18

